section,description,case_study
376,Punishment for sexual assault and rape. The accused committed sexual intercourse with the victim without consent or against her will.,The trial court convicted Deepak Gupta under Section 376 for the gang rape/rape of the survivor in Bhopal. The survivor testified that the accused abducted her on 5th November 2023 and committed the heinous offense in a moving vehicle.
302,Punishment for murder. The accused stands charged with committing murder and is liable to be punished with death or imprisonment for life.,State vs Ramesh Sen: The accused was indicted under Section 302 for the murder of Komal in Kolkata. Eyewitness testimonies and the recovery of the pistol at the instance of the accused established guilt beyond reasonable doubt.
401,Conspiracy to commit theft by a professional gang. Accused were caught patrolling residential areas with intention to steal.,A gang of habitual car thieves was apprehended in Ahmedabad. The accused Rajesh Kumar was found to be the mastermind who dismantled stolen cars and sold spare parts. The prosecution pressed charges under Section 401.
300,Culpable homicide amounting to murder. The accused with intent to cause death attacked the victim with a dangerous weapon.,"The accused Arjun Kapoor suspected his business partner Komal of embezzlement. On 23rd March 2024, Arjun Kapoor lured Komal to an abandoned warehouse in Amritsar and strangled him to death. The body was later disposed of in a nearby canal."
376,Offense of rape defined under Section 375 and punishable under Section 376. Non-consensual sexual act.,A case under Section 376 was registered against Amit Singh in Vadodara. The victim alleged that she was drugged at a party and sexually assaulted while unconscious. The police recovered CCTV footage verifying the presence of the accused.
307,"Violent attack with a lethal weapon with clear intent to end the victim's life, resulting in hospitalization.","On 30th December 2024, the accused Sanjay Dutt intercepted the victim Meena in Obour and stabbed him in the abdomen with a dagger. The victim survived after undergoing a five-hour emergency surgery. The accused is charged under Section 307."
307,"Violent attack with a lethal weapon with clear intent to end the victim's life, resulting in hospitalization.","During a political rally in Bengaluru on 10th October 2023, Ramesh Sen tried to strangulate Abhishek with a wire. Bystanders intervened and rescued the victim, who was unconscious. A case under Section 307 was registered against the assailant."
401,Conspiracy to commit theft by a professional gang. Accused were caught patrolling residential areas with intention to steal.,"The police busted an active criminal gang in Indore that specialized in highway thefts. The accused Manoj Bajpayee and his accomplices were arrested, and stolen laptops, mobile phones, and cash were seized. Charged under Section 401."
307,"Attempt to murder under Section 307. Accused fired at the victim or stabbed them, causing near-fatal injuries.",The accused Umesh Chandra fired two rounds from a dagger at Kiran in Thane due to commercial rivalry. One bullet grazed the victim's shoulder. The police registered a case of attempt to murder under Section 307.
401,Apprehension of active gang members committing habitual housebreaking and theft.,"On 29th September 2024, the police raided a hideout in Vadodara and arrested four gang members, including Vikram Rathore. Stolen jewelry worth Rs. 1,200,000 was recovered. The gang had been habitually committing house thefts in the region."
300,Intentionally causing bodily injury leading to the death of the victim. The assailant struck the victim repeatedly on vital organs.,"A land dispute between Deepak Gupta and Raj in Mumbai turned violent. Deepak Gupta loaded a wooden stick and shot Raj from close range, causing fatal injury to the chest. Forensic reports confirmed that the shot was fired with direct intention to cause death."
376,Punishment for sexual assault and rape. The accused committed sexual intercourse with the victim without consent or against her will.,The trial court convicted Umesh Chandra under Section 376 for the gang rape/rape of the survivor in Indore. The survivor testified that the accused abducted her on 10th October 2023 and committed the heinous offense in a moving vehicle.
302,Liability under section 302 for taking the life of a person with malice and pre-planning.,"The Sessions Court of Ahmedabad found the accused Rahul Verma guilty of murder under Section 302. On 4th July 2024, the accused had murdered his neighbor Anita with a revolver in broad daylight. The court sentenced the convict to life imprisonment."
300,Intentionally causing bodily injury leading to the death of the victim. The assailant struck the victim repeatedly on vital organs.,"On the night of 29th September 2024, the accused Manish Paul engaged in a heated argument with the victim Geeta over a property boundary in Vadodara. The accused subsequently went inside, fetched a sickle, and inflicted multiple blows on the victim's head, causing instant death."
498A,"Harassment, abuse, and mental torture inflicted upon the wife by her in-laws, leading to police complaint.","On 18th May 2025, the complainant filed an FIR at the women's police station in Kanpur against Harish Iyer (husband). She stated that she was kicked out of the house at midnight because her family could not pay Rs. 2,000,000 demanded by the in-laws."
498A,Domestic violence and cruelty under Section 498A. Demands for cash and vehicles by husband and in-laws.,"The victim Sandeep of Jaipur committed suicide after continuous harassment by her husband Sunil Dutt and his relatives. The police found diary entries detailing constant taunts and physical abuse, prompting charges under Section 498A."
401,"Section 401 prosecution for gang theft. Police recovered stolen jewelry, vehicles, and break-in tools from the gang's hideout.","The police busted an active criminal gang in Surat that specialized in highway thefts. The accused Rohan Das and his accomplices were arrested, and stolen laptops, mobile phones, and cash were seized. Charged under Section 401."
302,Liability under section 302 for taking the life of a person with malice and pre-planning.,"A charge sheet was filed under Section 302 against Karan Johar for the premeditated killing of Raj in Nagpur. The accused had used a iron rod to inflict ten deep wounds, ensuring the death of the victim."
420,Online phishing and transaction fraud. The accused induced the victim to share bank credentials and stole funds.,"The accused Amit Singh misrepresented himself as a registered financial broker and collected Rs. 1,200,000 from the victim Raj in Indore. He generated fake investment certificates and siphoned the entire capital."
498A,"Harassment, abuse, and mental torture inflicted upon the wife by her in-laws, leading to police complaint.","On 30th December 2024, the complainant filed an FIR at the women's police station in Indore against Rajesh Kumar (husband). She stated that she was kicked out of the house at midnight because her family could not pay Rs. 150,000 demanded by the in-laws."
401,Apprehension of active gang members committing habitual housebreaking and theft.,"On 10th October 2023, the police raided a hideout in Kanpur and arrested four gang members, including Deepak Gupta. Stolen jewelry worth Rs. 50,000 was recovered. The gang had been habitually committing house thefts in the region."
307,"Violent attack with a lethal weapon with clear intent to end the victim's life, resulting in hospitalization.",The accused Manish Paul fired two rounds from a hammer at Geeta in Mumbai due to commercial rivalry. One bullet grazed the victim's shoulder. The police registered a case of attempt to murder under Section 307.
300,Commission of homicide where the bodily injury intended to be inflicted is sufficient in the ordinary course of nature to cause death.,"In the jurisdiction of Jaipur, the prosecution proved that Manish Paul deliberately poisoned the meal of Radha with arsenic. The victim consumed the poisoned meal, suffered severe internal hemorrhage, and passed away on 29th September 2024 at the local hospital."
302,Trial for committing murder where the state seeks life imprisonment or capital punishment for the heinous offense.,The High Court upheld the life sentence of Sanjay Dutt for committing murder under Section 302. The victim Maya was brutally beaten to death in Nagpur over an ancestral family feud on 23rd March 2024.
376,Punishment for sexual assault and rape. The accused committed sexual intercourse with the victim without consent or against her will.,The victim filed a First Information Report (FIR) in Delhi stating that the accused Arjun Kapoor committed rape under the false promise of marriage. The accused later refused to marry her and threatened her with dire consequences.
302,Punishment for murder. The accused stands charged with committing murder and is liable to be punished with death or imprisonment for life.,State vs Deepak Gupta: The accused was indicted under Section 302 for the murder of Geeta in Obour. Eyewitness testimonies and the recovery of the sickle at the instance of the accused established guilt beyond reasonable doubt.
376,Prosecution for rape under Section 376. The victim's testimony was corroborated by medical evidence and forensic DNA reports.,A case under Section 376 was registered against Vikram Rathore in Ahmedabad. The victim alleged that she was drugged at a party and sexually assaulted while unconscious. The police recovered CCTV footage verifying the presence of the accused.
420,Cheating and dishonestly inducing delivery of property. The accused deceived the complainant and dishonestly induced them to deliver cash or property.,"In Pune, the police arrested Pankaj Tripathi for running an online job scam. The accused cheated over fifty youngsters of Rs. 1,000,000 each, promising them government jobs and issuing fake appointment letters on 5th November 2023."
300,"The accused with full knowledge that the act is so imminently dangerous that it must in all probability cause death, committed murder.","On the night of 29th September 2024, the accused Pankaj Tripathi engaged in a heated argument with the victim Gopal over a property boundary in Surat. The accused subsequently went inside, fetched a dagger, and inflicted multiple blows on the victim's head, causing instant death."
300,"The accused with full knowledge that the act is so imminently dangerous that it must in all probability cause death, committed murder.","On the night of 4th July 2024, the accused Umesh Chandra engaged in a heated argument with the victim Sandeep over a property boundary in Nagpur. The accused subsequently went inside, fetched a iron rod, and inflicted multiple blows on the victim's head, causing instant death."
401,Apprehension of active gang members committing habitual housebreaking and theft.,"On 4th July 2024, the police raided a hideout in Amritsar and arrested four gang members, including Vikram Rathore. Stolen jewelry worth Rs. 800,000 was recovered. The gang had been habitually committing house thefts in the region."
376,"Accusation of sexual assault under Section 376 where consent was obtained through coercion, threat, or false promise of marriage.",A case under Section 376 was registered against Sanjay Dutt in Jaipur. The victim alleged that she was drugged at a party and sexually assaulted while unconscious. The police recovered CCTV footage verifying the presence of the accused.
498A,"Harassment, abuse, and mental torture inflicted upon the wife by her in-laws, leading to police complaint.","On 4th July 2024, the complainant filed an FIR at the women's police station in Patna against Sanjay Dutt (husband). She stated that she was kicked out of the house at midnight because her family could not pay Rs. 5,000,000 demanded by the in-laws."
302,Criminal prosecution for murder under IPC Section 302. Conviction entails rigorous life imprisonment and monetary fine.,The High Court upheld the life sentence of Sanjay Dutt for committing murder under Section 302. The victim Sameer was brutally beaten to death in Surat over an ancestral family feud on 30th December 2024.
302,Punishment for murder. The accused stands charged with committing murder and is liable to be punished with death or imprisonment for life.,State vs Umesh Chandra: The accused was indicted under Section 302 for the murder of Sandeep in Hyderabad. Eyewitness testimonies and the recovery of the hammer at the instance of the accused established guilt beyond reasonable doubt.
376,Punishment for sexual assault and rape. The accused committed sexual intercourse with the victim without consent or against her will.,The victim filed a First Information Report (FIR) in Hyderabad stating that the accused Vijay Yadav committed rape under the false promise of marriage. The accused later refused to marry her and threatened her with dire consequences.
420,Corporate scam and misrepresentation. The suspect cheated investors of millions by showing forged balance sheets.,"The accused Harish Iyer misrepresented himself as a registered financial broker and collected Rs. 75,000 from the victim Komal in Thane. He generated fake investment certificates and siphoned the entire capital."
307,Assault with intent to kill. The victim survived the brutal assault due to timely medical intervention.,"On 5th November 2023, the accused Anil Mehta intercepted the victim Komal in Surat and stabbed him in the abdomen with a iron rod. The victim survived after undergoing a five-hour emergency surgery. The accused is charged under Section 307."
302,Trial for committing murder where the state seeks life imprisonment or capital punishment for the heinous offense.,The High Court upheld the life sentence of Pankaj Tripathi for committing murder under Section 302. The victim Alok was brutally beaten to death in Obour over an ancestral family feud on 18th May 2025.
302,Criminal prosecution for murder under IPC Section 302. Conviction entails rigorous life imprisonment and monetary fine.,State vs Vijay Yadav: The accused was indicted under Section 302 for the murder of Harish in Bengaluru. Eyewitness testimonies and the recovery of the hammer at the instance of the accused established guilt beyond reasonable doubt.
300,"The accused with full knowledge that the act is so imminently dangerous that it must in all probability cause death, committed murder.","In the jurisdiction of Chandigarh, the prosecution proved that Aakash Roy deliberately poisoned the meal of Seema with arsenic. The victim consumed the poisoned meal, suffered severe internal hemorrhage, and passed away on 4th July 2024 at the local hospital."
376,"Accusation of sexual assault under Section 376 where consent was obtained through coercion, threat, or false promise of marriage.",A case under Section 376 was registered against Vikram Rathore in Kanpur. The victim alleged that she was drugged at a party and sexually assaulted while unconscious. The police recovered CCTV footage verifying the presence of the accused.
376,"Accusation of sexual assault under Section 376 where consent was obtained through coercion, threat, or false promise of marriage.",The victim filed a First Information Report (FIR) in Bengaluru stating that the accused Pankaj Tripathi committed rape under the false promise of marriage. The accused later refused to marry her and threatened her with dire consequences.
300,Intentionally causing bodily injury leading to the death of the victim. The assailant struck the victim repeatedly on vital organs.,"On the night of 4th July 2024, the accused Harish Iyer engaged in a heated argument with the victim Anita over a property boundary in Vadodara. The accused subsequently went inside, fetched a revolver, and inflicted multiple blows on the victim's head, causing instant death."
376,Prosecution for rape under Section 376. The victim's testimony was corroborated by medical evidence and forensic DNA reports.,The trial court convicted Vijay Yadav under Section 376 for the gang rape/rape of the survivor in Amritsar. The survivor testified that the accused abducted her on 5th November 2023 and committed the heinous offense in a moving vehicle.
401,Apprehension of active gang members committing habitual housebreaking and theft.,A gang of habitual car thieves was apprehended in Ahmedabad. The accused Suresh Sharma was found to be the mastermind who dismantled stolen cars and sold spare parts. The prosecution pressed charges under Section 401.
302,Punishment for murder. The accused stands charged with committing murder and is liable to be punished with death or imprisonment for life.,"A charge sheet was filed under Section 302 against Manish Paul for the premeditated killing of Meena in Lucknow. The accused had used a sickle to inflict ten deep wounds, ensuring the death of the victim."
307,"Attempt to murder under Section 307. Accused fired at the victim or stabbed them, causing near-fatal injuries.","The accused Suresh Sharma mixed pesticide in the tea served to Vijay in Chandigarh. The victim sensed the strange odor and spat it out, but still suffered minor poisoning. Charged with attempt to murder under Section 307."
300,Intentionally causing bodily injury leading to the death of the victim. The assailant struck the victim repeatedly on vital organs.,"In the jurisdiction of Delhi, the prosecution proved that Rohan Das deliberately poisoned the meal of Geeta with arsenic. The victim consumed the poisoned meal, suffered severe internal hemorrhage, and passed away on 18th May 2025 at the local hospital."
420,Corporate scam and misrepresentation. The suspect cheated investors of millions by showing forged balance sheets.,"The accused Rahul Verma misrepresented himself as a registered financial broker and collected Rs. 75,000 from the victim Divya in Indore. He generated fake investment certificates and siphoned the entire capital."
420,Online phishing and transaction fraud. The accused induced the victim to share bank credentials and stole funds.,"The accused Suresh Sharma misrepresented himself as a registered financial broker and collected Rs. 300,000 from the victim Meena in Nagpur. He generated fake investment certificates and siphoned the entire capital."
300,Culpable homicide amounting to murder. The accused with intent to cause death attacked the victim with a dangerous weapon.,"In the jurisdiction of Jaipur, the prosecution proved that Pankaj Tripathi deliberately poisoned the meal of Kiran with arsenic. The victim consumed the poisoned meal, suffered severe internal hemorrhage, and passed away on 12th January 2025 at the local hospital."
498A,Domestic violence and cruelty under Section 498A. Demands for cash and vehicles by husband and in-laws.,"On 10th October 2023, the complainant filed an FIR at the women's police station in Ahmedabad against Sunil Dutt (husband). She stated that she was kicked out of the house at midnight because her family could not pay Rs. 1,200,000 demanded by the in-laws."
401,Conspiracy to commit theft by a professional gang. Accused were caught patrolling residential areas with intention to steal.,"A patrolling squad in Patna intercepted five individuals, including Aakash Roy, on 23rd March 2024. The suspects were carrying housebreaking tools, iron rods, and masks. Investigation revealed they belonged to a notorious gang of thieves operating under Section 401."
498A,Domestic violence and cruelty under Section 498A. Demands for cash and vehicles by husband and in-laws.,"The victim Sandeep of Indore committed suicide after continuous harassment by her husband Umesh Chandra and his relatives. The police found diary entries detailing constant taunts and physical abuse, prompting charges under Section 498A."
376,Punishment for sexual assault and rape. The accused committed sexual intercourse with the victim without consent or against her will.,A case under Section 376 was registered against Rohan Das in Indore. The victim alleged that she was drugged at a party and sexually assaulted while unconscious. The police recovered CCTV footage verifying the presence of the accused.
401,Conspiracy to commit theft by a professional gang. Accused were caught patrolling residential areas with intention to steal.,"On 4th July 2024, the police raided a hideout in Bhopal and arrested four gang members, including Amit Singh. Stolen jewelry worth Rs. 1,200,000 was recovered. The gang had been habitually committing house thefts in the region."
401,Conspiracy to commit theft by a professional gang. Accused were caught patrolling residential areas with intention to steal.,"A patrolling squad in Bengaluru intercepted five individuals, including Anil Mehta, on 4th July 2024. The suspects were carrying housebreaking tools, iron rods, and masks. Investigation revealed they belonged to a notorious gang of thieves operating under Section 401."
401,Conspiracy to commit theft by a professional gang. Accused were caught patrolling residential areas with intention to steal.,"A patrolling squad in Ahmedabad intercepted five individuals, including Rajesh Kumar, on 30th December 2024. The suspects were carrying housebreaking tools, iron rods, and masks. Investigation revealed they belonged to a notorious gang of thieves operating under Section 401."
300,Commission of homicide where the bodily injury intended to be inflicted is sufficient in the ordinary course of nature to cause death.,"On the night of 4th July 2024, the accused Deepak Gupta engaged in a heated argument with the victim Seema over a property boundary in Obour. The accused subsequently went inside, fetched a sickle, and inflicted multiple blows on the victim's head, causing instant death."
401,"Section 401 prosecution for gang theft. Police recovered stolen jewelry, vehicles, and break-in tools from the gang's hideout.",A gang of habitual car thieves was apprehended in Hyderabad. The accused Umesh Chandra was found to be the mastermind who dismantled stolen cars and sold spare parts. The prosecution pressed charges under Section 401.
302,Trial for committing murder where the state seeks life imprisonment or capital punishment for the heinous offense.,State vs Manoj Bajpayee: The accused was indicted under Section 302 for the murder of Alok in Kolkata. Eyewitness testimonies and the recovery of the wooden stick at the instance of the accused established guilt beyond reasonable doubt.
307,"Attempt to murder under Section 307. Accused fired at the victim or stabbed them, causing near-fatal injuries.","On 30th December 2024, the accused Vijay Yadav intercepted the victim Abhishek in Bengaluru and stabbed him in the abdomen with a sickle. The victim survived after undergoing a five-hour emergency surgery. The accused is charged under Section 307."
376,Prosecution for rape under Section 376. The victim's testimony was corroborated by medical evidence and forensic DNA reports.,A case under Section 376 was registered against Harish Iyer in Thane. The victim alleged that she was drugged at a party and sexually assaulted while unconscious. The police recovered CCTV footage verifying the presence of the accused.
401,Apprehension of active gang members committing habitual housebreaking and theft.,"On 10th October 2023, the police raided a hideout in Patna and arrested four gang members, including Deepak Gupta. Stolen jewelry worth Rs. 2,000,000 was recovered. The gang had been habitually committing house thefts in the region."
376,Offense of rape defined under Section 375 and punishable under Section 376. Non-consensual sexual act.,The trial court convicted Amit Singh under Section 376 for the gang rape/rape of the survivor in Chandigarh. The survivor testified that the accused abducted her on 23rd March 2024 and committed the heinous offense in a moving vehicle.
498A,"Harassment, abuse, and mental torture inflicted upon the wife by her in-laws, leading to police complaint.","The complainant Divya filed a complaint in Bengaluru alleging that her husband Sunil Dutt and mother-in-law subjected her to severe cruelty since their marriage on 15th August 2024. They repeatedly demanded Rs. 150,000 as additional dowry."
